音乐图片链接地址,专辑名称,歌手,发型时间,专辑,风格,评分,评价人数,专辑详情链接
https://img2.doubanio.com/view/subject/s/public/s1632580.jpg,Nevermind(别介意),Nirvana , 1991 , 专辑 , 摇滚,9.3,66963,https://music.douban.com/subject/1394568/
https://img2.doubanio.com/view/subject/s/public/s4598636.jpg,八度空间(The Eight Dimensions),周杰伦 , 2002-07-19 , 专辑 , 流行,9.2,92776,https://music.douban.com/subject/1403832/
https://img2.doubanio.com/view/subject/s/public/s8932514.jpg,Jay,周杰伦 , 2000-11-13 , 专辑 , 流行,9.4,97865,https://music.douban.com/subject/1422300/
https://img2.doubanio.com/view/subject/s/public/s1400723.jpg,Parachutes(降落伞),Coldplay , 2000-07-10 , 专辑 , 摇滚,9.2,55767,https://music.douban.com/subject/1463061/
https://img2.doubanio.com/view/subject/s/public/s3524071.jpg,我要的幸福(My Desired Happiness),孙燕姿 , 2000-12-7 , 专辑 , 流行,9.0,63850,https://music.douban.com/subject/1405028/
https://img2.doubanio.com/view/subject/s/public/s27076587.jpg,还是会寂寞(Lonely Without You),陈绮贞 , 2000 , 专辑 , 流行,9.1,54972,https://music.douban.com/subject/1394547/
https://img2.doubanio.com/view/subject/s/public/s2652911.jpg,Let Go(展翅高飞),Avril Lavigne , 2002 , Enhanced , 摇滚,9.0,56764,https://music.douban.com/subject/1394992/
https://img2.doubanio.com/view/subject/s/public/s1456874.jpg,十一月的萧邦(November&#39;s Chopin),周杰伦 , 2005-11-01 , 专辑 , 流行,8.9,100426,https://music.douban.com/subject/1436975/
https://img2.doubanio.com/view/subject/s/public/s3405037.jpg,橙月(Orange Moon),方大同 , 2008-12-19 , 专辑 ,R&amp;B,8.7,52340,https://music.douban.com/subject/3313612/
https://img2.doubanio.com/view/subject/s/public/s1883654.jpg,小宇宙(Little Universe),苏打绿 , 2006-10-20 , 专辑 , 流行,8.9,52911,https://music.douban.com/subject/1900796/
https://img2.doubanio.com/view/subject/s/public/s3942165.jpg,若你碰到他(若你碰到他),蔡健雅 , 2009-08-19 , 专辑 , 流行,8.1,52228,https://music.douban.com/subject/4323489/
https://img2.doubanio.com/view/subject/s/public/s2376100.jpg,Lady &amp; Bird,Lady &amp; Bird , 2003 , Import , 民谣,8.8,43791,https://music.douban.com/subject/1394763/
https://img2.doubanio.com/view/subject/s/public/s4614409.jpg,万能青年旅店,万能青年旅店 , 2010-11-12 , 专辑 , 摇滚,9.5,93338,https://music.douban.com/subject/5344708/
https://img2.doubanio.com/view/subject/s/public/s1401378.jpg,Meteora(天空之城—美特拉),Linkin Park , 2003-03-25 , Enhanced , 摇滚,9.1,45987,https://music.douban.com/subject/1395785/
https://img2.doubanio.com/view/subject/s/public/s1461123.jpg,Back To Bedlam(不安於室),James Blunt , 2004 , Explicit Lyrics , 流行,9.0,43551,https://music.douban.com/subject/1401550/
https://img2.doubanio.com/view/subject/s/public/s2360790.jpg,苏打绿同名专辑,"苏打绿,蘇打綠 ", 2005年9月 , 国语 , 流行,8.9,55316,https://music.douban.com/subject/1421488/
https://img2.doubanio.com/view/subject/s/public/s3551584.jpg,静茹&amp;情歌 别再为他流泪(别再为他流泪),梁静茹 , 2009-01-16 , 专辑 , 流行,8.5,47681,https://music.douban.com/subject/3427630/
https://img2.doubanio.com/view/subject/s/public/s6201192.jpg,美妙生活(Perfect Life),林宥嘉 , 2011-05-06 , 专辑 , 流行,8.7,49636,https://music.douban.com/subject/6113840/
https://img2.doubanio.com/view/subject/s/public/s2881998.jpg,Le Fabuleux destin d&#39;Amélie Poulain(天使爱美丽),Yann Tiersen , 2001-04-23 , Soundtrack , 原声,9.4,44937,https://music.douban.com/subject/1394798/
https://img2.doubanio.com/view/subject/s/public/s3550503.jpg,Joanna &amp; 王若琳,王若琳 , 2009-01-16 , 专辑 , 爵士,8.3,43358,https://music.douban.com/subject/3335374/
https://img2.doubanio.com/view/subject/s/public/s2783063.jpg,A Plea En Vendredi,Tamas Wells , 2006 , Import , 民谣,9.0,39535,https://music.douban.com/subject/1776145/
https://img2.doubanio.com/view/subject/s/public/s4466905.jpg,To Hebe(給 自己),田馥甄 Hebe , 2010-09-03 , 专辑 , 流行,8.2,45661,https://music.douban.com/subject/4935955/
https://img2.doubanio.com/view/subject/s/public/s2333326.jpg,逆光(Against the Light),孙燕姿 , 2007-03-22 , Import , 流行,8.7,74332,https://music.douban.com/subject/2009904/
https://img2.doubanio.com/view/subject/s/public/s3390958.jpg,只爱陌生人,王菲 , 1999-09-10 , Import , 流行,9.4,60710,https://music.douban.com/subject/3590980/
https://img2.doubanio.com/view/subject/s/public/s1989094.jpg,Music For Tourists,Chris Garneau , 2007-01-23 , 引进版 , 民谣,8.8,39200,https://music.douban.com/subject/1960229/
https://img2.doubanio.com/view/subject/s/public/s2794840.jpg,The Moment(关键时刻),孙燕姿 , 2003-08-22 , 专辑 , 流行,9.1,44221,https://music.douban.com/subject/1402385/
https://img2.doubanio.com/view/subject/s/public/s3169796.jpg,七,陈奕迅 , 2003-11-20 , 选集 , 流行,9.4,43742,https://music.douban.com/subject/1406094/
https://img2.doubanio.com/view/subject/s/public/s3763169.jpg,春·日光(日光),苏打绿 , 2009-05-08 , 专辑 , 民谣,8.3,46493,https://music.douban.com/subject/3671026/
https://img2.doubanio.com/view/subject/s/public/s3128207.jpg,100种生活,盧廣仲 , 2008-5-27 , 专辑 , 民谣,8.4,43263,https://music.douban.com/subject/3039969/
https://img2.doubanio.com/view/subject/s/public/s2758489.jpg,崇拜(J&#39;adore),梁静茹 , 2007-11-09 , 专辑 , 流行,8.6,50540,https://music.douban.com/subject/2282388/
https://img2.doubanio.com/view/subject/s/public/s3232974.jpg,陈绮贞精选(Cheer 精选),陈绮贞 , 2005 , 选集 , 民谣,9.2,37159,https://music.douban.com/subject/1408468/
https://img2.doubanio.com/view/subject/s/public/s3272681.jpg,菊次郎の夏(Kikujiro (1999 Film)),Joe Hisaishi , 1999-05-19 , 专辑 , 原声,9.5,50837,https://music.douban.com/subject/1419282/
https://img2.doubanio.com/view/subject/s/public/s3315133.jpg,Fearless(无畏),Taylor Swift , 2008-11-11 , Enhanced , 流行,8.7,56013,https://music.douban.com/subject/3220185/
https://img2.doubanio.com/view/subject/s/public/s2657592.jpg,Life In Cartoon Motion,Mika , 2007-02-05 , 专辑 , 流行,8.8,37249,https://music.douban.com/subject/1968390/
https://img2.doubanio.com/view/subject/s/public/s3666735.jpg,H³M(H3M),陈奕迅 , 2009-03-23 , 专辑 , 流行,8.8,45990,https://music.douban.com/subject/3603814/
https://img2.doubanio.com/view/subject/s/public/s3113075.jpg,神秘嘉宾(神秘嘉宾),林宥嘉 , 2008-06-03 , 专辑 , 流行,8.5,46861,https://music.douban.com/subject/3076388/
https://img2.doubanio.com/view/subject/s/public/s1400055.jpg,Les Choristes(放牛班的春天),Bruno Coulais , 2004-05-03 , Soundtrack , 原声,9.5,38167,https://music.douban.com/subject/1394803/
https://img2.doubanio.com/view/subject/s/public/s3902012.jpg,赤子(Innocent),范晓萱&amp;100% , 2009-08-10 , 专辑 , 摇滚,8.2,39883,https://music.douban.com/subject/3871896/
https://img2.doubanio.com/view/subject/s/public/s1831581.jpg,9,Damien Rice , 2006-11-06 , 专辑 , 民谣,9.0,37100,https://music.douban.com/subject/1889074/
https://img2.doubanio.com/view/subject/s/public/s2726841.jpg,将爱,王菲 , 2003 , 专辑 , 流行,8.9,49465,https://music.douban.com/subject/1401392/
https://img2.doubanio.com/view/subject/s/public/s1462740.jpg,遇见我,曹方 , 2005年12月 , 专辑 , 流行,8.4,39982,https://music.douban.com/subject/1449452/
https://img2.doubanio.com/view/subject/s/public/s3743777.jpg,梵高先生(B&amp;BⅡ),李志 , 2007-01-11 , CD , 民谣,9.1,53056,https://music.douban.com/subject/1958731/
https://img2.doubanio.com/view/subject/s/public/s27078161.jpg,Timeless 可啦思刻(方大同 2009全新大碟 自選輯 / 可啦思刻),方大同 , 2009-08-11 , 自选集 ,R&amp;B,8.4,38881,https://music.douban.com/subject/3821598/
https://img2.doubanio.com/view/subject/s/public/s1943885.jpg,依然范特西(Still Fantasy),周杰伦 , 2006-09-05 , 专辑 , 流行,8.6,74975,https://music.douban.com/subject/2210561/
https://img2.doubanio.com/view/subject/s/public/s6569456.jpg,风筝(Kite),孙燕姿 , 2001-07-09 , 专辑 , 流行,8.9,46353,https://music.douban.com/subject/1407437/
https://img2.doubanio.com/view/subject/s/public/s1646682.jpg,完美的一天(A Perfect Day),孙燕姿 , 2005-10-07 , 专辑 , 流行,8.3,46999,https://music.douban.com/subject/4725615/
https://img2.doubanio.com/view/subject/s/public/s4043738.jpg,Say I Am You,The Weepies , 2006 , Import , 民谣,8.6,40119,https://music.douban.com/subject/1547155/
https://img2.doubanio.com/view/subject/s/public/s4597133.jpg,黑色柳丁(Black Tangerine),陶喆 , 2002-08-09 , 专辑 , 流行,9.2,61559,https://music.douban.com/subject/1395092/
https://img2.doubanio.com/view/subject/s/public/s4716897.jpg,Under My Skin,Avril Lavigne , 2004-05-12 , Import , 摇滚,8.6,40700,https://music.douban.com/subject/1394994/
https://img2.doubanio.com/view/subject/s/public/s1418840.jpg,Stefanie,孙燕姿 , 2004-10-1 , 专辑 , 流行,8.7,39884,https://music.douban.com/subject/1406256/
https://img2.doubanio.com/view/subject/s/public/s3224590.jpg,The Fame,Lady Gaga , 2008-08-19 , Import , 流行,8.5,43624,https://music.douban.com/subject/3179585/
https://img2.doubanio.com/view/subject/s/public/s2761461.jpg,Mr. A-Z(英语老师),Jason Mraz , 2005-07-04 , Import , 流行,9.0,34740,https://music.douban.com/subject/1823439/
https://img2.doubanio.com/view/subject/s/public/s1959251.jpg,为爱而生(為愛而生 / BORN TO LOVE),五月天 , 2006-12-28 , 引进版 , 流行,8.6,41341,https://music.douban.com/subject/1948359/
https://img2.doubanio.com/view/subject/s/public/s1661548.jpg,Daniel Powter(dp),Daniel Powter , 2006 , 专辑 , 流行,8.7,35580,https://music.douban.com/subject/1421922/
https://img2.doubanio.com/view/subject/s/public/s9074663.jpg,I&#39;m Yours,Jason Mraz , 2008-12-16 , Single , 民谣,9.4,39436,https://music.douban.com/subject/3097879/
https://img2.doubanio.com/view/subject/s/public/s3839391.jpg,时光·漫步,许巍 Wei Xu , 2002-12-01 , 专辑 , 民谣,9.0,39323,https://music.douban.com/subject/1408378/
https://img2.doubanio.com/view/subject/s/public/s1966937.jpg,生如夏花(Life Like Summer Flowers),朴树 , 2003-11-28 , 专辑 , 流行,9.0,62395,https://music.douban.com/subject/1407656/
https://img2.doubanio.com/view/subject/s/public/s2753832.jpg,我很忙(JAY CHOU ON THE RUN),周杰伦 , 2007-11-01 , 专辑 , 流行,8.3,74055,https://music.douban.com/subject/1846771/
https://img2.doubanio.com/view/subject/s/public/s3967123.jpg,夏 / 狂热(Fever),苏打绿 , 2009-09-11 , 专辑 , 摇滚,8.7,42986,https://music.douban.com/subject/3838018/
https://img2.doubanio.com/view/subject/s/public/s11363103.jpg,绝世名伶,范晓萱 , 2001-08-25 , 专辑 , 爵士,8.8,36421,https://music.douban.com/subject/1424317/
https://img2.doubanio.com/view/subject/s/public/s4052811.jpg,哼一首歌 等日落,曹方 , 2009-11-11 , 专辑 , 流行,8.2,33650,https://music.douban.com/subject/4116446/
https://img2.doubanio.com/view/subject/s/public/s3524013.jpg,未完成(To Be Continued......),孙燕姿 , 2003-01-10 , 专辑 , 流行,8.7,38630,https://music.douban.com/subject/1408461/
https://img2.doubanio.com/view/subject/s/public/s2789048.jpg,OK Computer,Radiohead , 1997 , 专辑 , 摇滚,9.4,47374,https://music.douban.com/subject/1394653/
https://img2.doubanio.com/view/subject/s/public/s7047247.jpg,Born to Die(向死而生（大陆） / 生死相守 （台）),Lana Del Rey , 2012-01-31 , 专辑 , 流行,8.9,52499,https://music.douban.com/subject/10448971/
https://img2.doubanio.com/view/subject/s/public/s2413665.jpg,The Wall(迷墙),Pink Floyd , 1979 , 专辑 , 摇滚,9.4,48242,https://music.douban.com/subject/1394664/
https://img2.doubanio.com/view/subject/s/public/s3523286.jpg,不要停止我的音乐(The Music Won&#39;t Be Stopped),痛仰 , 2008-10 , 专辑 , 摇滚,8.6,48137,https://music.douban.com/subject/3236064/
https://img2.doubanio.com/view/subject/s/public/s2838195.jpg,Hybrid Theory(混合理论),Linkin Park , 2000 , 专辑 , 摇滚,9.0,33987,https://music.douban.com/subject/1394771/
https://img2.doubanio.com/view/subject/s/public/s3158430.jpg,MTV Unplugged in New York,Nirvana , 1994-11-01 , Live , 摇滚,9.6,35525,https://music.douban.com/subject/1394566/
https://img2.doubanio.com/view/subject/s/public/s4711982.jpg,After 17,陈绮贞 , 2004年12月 , EP , 流行,9.2,32710,https://music.douban.com/subject/1400651/
https://img2.doubanio.com/view/subject/s/public/s4346679.jpg,In Between Dreams,Jack Johnson , 2005-03-22 , 专辑 , 民谣,9.1,29966,https://music.douban.com/subject/1395432/
https://img2.doubanio.com/view/subject/s/public/s3586961.jpg,神的孩子都在跳舞,五月天 Mayday , 2004-11-05 , 专辑 , 流行,9.0,36199,https://music.douban.com/subject/3526294/
https://img2.doubanio.com/view/subject/s/public/s27078194.jpg,离开地球表面Jump!,五月天 , 2007-07-20 , 专辑 , 流行,8.8,42087,https://music.douban.com/subject/2150115/
https://img2.doubanio.com/view/subject/s/public/s3146476.jpg,不想放手(Don&#39;t Want to Let Go),陈奕迅 , 2008-06-30 , 专辑 , 流行,8.4,37416,https://music.douban.com/subject/3088329/
https://img2.doubanio.com/view/subject/s/public/s9127241.jpg,我的歌声里,曲婉婷 , 2010-02-24 , 单曲 , 流行,8.7,48300,https://music.douban.com/subject/5395505/
https://img2.doubanio.com/view/subject/s/public/s1426141.jpg,The Legend of 1900(海上钢琴师),Ennio Morricone , 1999-10-12 , Soundtrack , 原声,9.5,36415,https://music.douban.com/subject/1415369/
https://img2.doubanio.com/view/subject/s/public/s3266121.jpg,孤独的人是可耻的(Shameful being left alone),张楚 , 1994 , 专辑 , 摇滚,9.2,41691,https://music.douban.com/subject/1407472/
https://img2.doubanio.com/view/subject/s/public/s3819180.jpg,徐佳瑩La La首张创作专辑(La La首張創作專輯),徐佳莹 , 2009-05-29 , 专辑 , 流行,8.5,39584,https://music.douban.com/subject/3746394/
https://img2.doubanio.com/view/subject/s/public/s2362973.jpg,The Best Damn Thing(美丽坏东西),Avril Lavigne , 2007-04-17 , Import , 摇滚,7.9,37493,https://music.douban.com/subject/2044199/
https://img2.doubanio.com/view/subject/s/public/s1443616.jpg,知足 just my pride 最真杰作选,五月天 , 2005-11-18 , 专辑 , 摇滚,9.3,33740,https://music.douban.com/subject/1422072/
https://img2.doubanio.com/view/subject/s/public/s3509238.jpg,1(The Beatles 1 / No.1),The Beatles , 2000 , 选集 , 摇滚,9.5,31798,https://music.douban.com/subject/1394818/
https://img2.doubanio.com/view/subject/s/public/s3292023.jpg,魔杰座(Capricorn),周杰伦 , 2008-10-09 , 专辑 ,R&amp;B,7.9,63225,https://music.douban.com/subject/3222423/
https://img2.doubanio.com/view/subject/s/public/s1400630.jpg,X&amp;Y(染色体),Coldplay , 2005-06-07 , 专辑 , 摇滚,8.6,35466,https://music.douban.com/subject/1394600/
https://img2.doubanio.com/view/subject/s/public/s2841982.jpg,19,Adele , 2008-01-28 , Import ,R&amp;B,8.6,36561,https://music.douban.com/subject/2347182/
https://img2.doubanio.com/view/subject/s/public/s4718016.jpg,时光机(mayday&#39;s time machine),五月天 , 2003-11-11 , 专辑 , 摇滚,9.1,34468,https://music.douban.com/subject/1408748/
https://img2.doubanio.com/view/subject/s/public/s4067651.jpg,Yan Zi(孙燕姿同名专辑),孙燕姿 , 2000-06-08 , 专辑 , 流行,9.1,36832,https://music.douban.com/subject/1405022/
https://img2.doubanio.com/view/subject/s/public/s4217513.jpg,Time Flies(时日如飞),陈奕迅 , 2010-03-12 , EP , 流行,8.9,33782,https://music.douban.com/subject/4706451/
https://img2.doubanio.com/view/subject/s/public/s3164468.jpg,失败者的飞翔,陈绮贞 , 2008-07-13 , 单曲 , 流行,8.6,29734,https://music.douban.com/subject/3143363/
https://img2.doubanio.com/view/subject/s/public/s6893784.jpg,My Love,田馥甄 , 2011-09-02 , 专辑 , 流行,8.4,36372,https://music.douban.com/subject/6722110/
https://img2.doubanio.com/view/subject/s/public/s1876827.jpg,亲亲(親親),梁静茹 , 2006-10-06 , 专辑 , 流行,8.2,35297,https://music.douban.com/subject/1891318/
https://img2.doubanio.com/view/subject/s/public/s2951748.jpg,你王菲所以我王菲,王菲 , 2002 , 选集 , 流行,9.5,36374,https://music.douban.com/subject/1769327/
https://img2.doubanio.com/view/subject/s/public/s4644120.jpg,Stranger Under My Skin,陈奕迅 , 2011-02-22 , EP , 流行,8.8,32708,https://music.douban.com/subject/6082657/
https://img2.doubanio.com/view/subject/s/public/s3845165.jpg,Come Away with Me(远走高飞),Norah Jones , 2002 , 专辑 , 爵士,8.9,31308,https://music.douban.com/subject/1394747/
https://img2.doubanio.com/view/subject/s/public/s27326029.jpg,平凡之路(电影《后会无期》宣传曲),朴树 , 2014-07-16 , 单曲 , 原声,9.1,82516,https://music.douban.com/subject/25927970/
https://img2.doubanio.com/view/subject/s/public/s3947069.jpg,认了吧(Admit it),陈奕迅 , 2007-04-24 , 专辑 , 流行,8.9,39682,https://music.douban.com/subject/2052256/
https://img2.doubanio.com/view/subject/s/public/s3727625.jpg,21st Century Breakdown,Green Day , 2009-05-15 , 专辑 , 摇滚,8.7,31300,https://music.douban.com/subject/3533452/
https://img2.doubanio.com/view/subject/s/public/s11174008.jpg,神的游戏(Games We Play / 神的遊戲),張懸 , 2012-08-10 , 专辑 , 流行,9.2,43881,https://music.douban.com/subject/11027027/
https://img2.doubanio.com/view/subject/s/public/s2749634.jpg,唱游,王菲 , 1998 , 专辑 , 流行,9.4,42670,https://music.douban.com/subject/1394808/
https://img2.doubanio.com/view/subject/s/public/s2377978.jpg,花的姿态：演唱会经典实录(花的姿態經典實錄精裝版2CD+DVD),陈绮贞 , 2007-05-18 , 演唱会, 民谣,9.3,26980,https://music.douban.com/subject/2078050/
https://img2.doubanio.com/view/subject/s/public/s27208919.jpg,我去2000年,朴树 , 1999-1 , 专辑 , 流行,9.4,46531,https://music.douban.com/subject/1405324/
https://img2.doubanio.com/view/subject/s/public/s1629838.jpg,Young For You,GALA , 2004 , 专辑 , 摇滚,8.8,30660,https://music.douban.com/subject/1758337/
https://img2.doubanio.com/view/subject/s/public/s3151869.jpg,自选集(Start Yan-zi),孙燕姿 , 2002年1月 , 专辑 , 流行,9.0,30019,https://music.douban.com/subject/1405050/
https://img2.doubanio.com/view/subject/s/public/s2891182.jpg,理性与感性 作品音乐会(Sense and Sensibility),李宗盛 Jonathan , 2007-09-28 , 专辑 , 流行,9.6,28777,https://music.douban.com/subject/2266925/
https://img2.doubanio.com/view/subject/s/public/s2755385.jpg,比天空还远,曹方 , 2007-11-20 , EP , 流行,8.5,27834,https://music.douban.com/subject/2350942/
https://img2.doubanio.com/view/subject/s/public/s3081692.jpg,黑梦(黑夢),窦唯 , 1994-10 , 专辑 , 摇滚,9.4,45810,https://music.douban.com/subject/2299845/
https://img2.doubanio.com/view/subject/s/public/s2652097.jpg,不能说的秘密(不能說的秘密),"周杰倫,Terdsak Janpan,詹宇豪,陳承麒,黃婉琦,姚蘇蓉,黃俊郎,江語晨,長榮交響樂團 ", 2007-08-13 , Soundtrack , 原声,9.1,46520,https://music.douban.com/subject/2164654/
https://img2.doubanio.com/view/subject/s/public/s1966952.jpg,丝路(通往爱的路途),梁静茹 Fish , 2005-9-16 , 专辑 , 流行,8.3,32784,https://music.douban.com/subject/1427941/
https://img2.doubanio.com/view/subject/s/public/s2609413.jpg,All The Lost Souls,James Blunt , 2007-09-18 , Import , 流行,8.6,26614,https://music.douban.com/subject/2153935/
https://img2.doubanio.com/view/subject/s/public/s4124010.jpg,F.I.R.,飞儿乐团 F.I.R. , 2004-04-29 , 专辑 , 摇滚,8.9,43069,https://music.douban.com/subject/1408794/
https://img2.doubanio.com/view/subject/s/public/s3969572.jpg,上五楼的快活,陈奕迅 , 2009-09-23 , 专辑 , 流行,7.8,30022,https://music.douban.com/subject/4009831/
https://img2.doubanio.com/view/subject/s/public/s2665031.jpg,Minutes to Midnight,Linkin Park , 2007-05-15 , 专辑 , 摇滚,8.4,27827,https://music.douban.com/subject/2042799/
https://img2.doubanio.com/view/subject/s/public/s27067658.jpg,GOODBYE &amp; HELLO,"蔡健雅,Tanya ", 2007-10-19 , 专辑 , 流行,8.7,29387,https://music.douban.com/subject/2264207/
https://img2.doubanio.com/view/subject/s/public/s4689205.jpg,Someone Like You,Adele , 2011-01-24 , 单曲 ,R&amp;B,9.5,41992,https://music.douban.com/subject/6064884/
https://img2.doubanio.com/view/subject/s/public/s4567536.jpg,迟到千年,苏打绿 , 2006-09-18 , EP , 流行,9.0,27505,https://music.douban.com/subject/1875211/
https://img2.doubanio.com/view/subject/s/public/s4415985.jpg,The Dark Side of the Moon,Pink Floyd , 1973 , 专辑 , 摇滚,9.5,51914,https://music.douban.com/subject/1395685/
https://img2.doubanio.com/view/subject/s/public/s27066361.jpg,王菲(Faye Wong 2001),王菲 , 2001 , 专辑 , 流行,9.2,33932,https://music.douban.com/subject/3837067/
https://img2.doubanio.com/view/subject/s/public/s7050455.jpg,夜空中最亮的星,逃跑计划 , 2011-04-12 , 单曲 , 摇滚,9.2,63094,https://music.douban.com/subject/6974122/
https://img2.doubanio.com/view/subject/s/public/s26743139.jpg,追梦痴子心,GALA , 2011-03-24 , 专辑 , 摇滚,8.9,37939,https://music.douban.com/subject/6047523/
https://img2.doubanio.com/view/subject/s/public/s4425103.jpg,宝贝,莫文蔚 , 2010-07-26 , 专辑 , 流行,8.0,27554,https://music.douban.com/subject/4884299/
https://img2.doubanio.com/view/subject/s/public/s4088274.jpg,"黑白灰(Black, White &amp; Grey / 黑·白·灰)",陈奕迅 , 2003 , 专辑 , 流行,9.1,28582,https://music.douban.com/subject/1401759/
https://img2.doubanio.com/view/subject/s/public/s27029428.jpg,安和桥北(献给张先诺先生),宋冬野 , 2013-08-26 , 专辑 , 民谣,8.9,48831,https://music.douban.com/subject/25709562/
https://img2.doubanio.com/view/subject/s/public/s3104656.jpg,Prisoner of Love(爱的囚徒),宇多田ヒカル , 2008-05-21 , CD IMPORT , 流行,9.3,27283,https://music.douban.com/subject/3035043/
https://img2.doubanio.com/view/subject/s/public/s3268875.jpg,Groupies 吉他手(Groupies),陈绮贞 , 2002-08-02 , 专辑 , 流行,9.3,36863,https://music.douban.com/subject/1394549/
https://img2.doubanio.com/view/subject/s/public/s1506405.jpg,Now The Day Is Over(美好的一天),The Innocence Mission , 2004 , 专辑 , 民谣,8.4,24794,https://music.douban.com/subject/1404703/
